Flat_No,House_Name,House_No,Street,Locale,Town,Postcode,Parish,Consideration,Market_Value,Acquisition_Date,Registered_Date
,,7,Alexander Drive,,Douglas,IM2 3QD,Onchan,212000,212000,14/09/2012,14/12/2012
,Seven Garages,,Rear Of Central Drive,,Onchan,,Onchan,100000,100000,14/09/2012,28/02/2013
,,5,Endfield Avenue,,Port St Mary,IM9 5EW,Rushen,265000,265000,14/09/2012,8/1/2013
,,8,Springfield Rise,,Foxdale,IM4 3JX,Patrick,327450,327450,17/09/2012,10/7/2014
,Cliff Cottage,,Bay View Road,,Port St. Mary,IM9 5AW,Rushen,0.25,220000,17/09/2012,4/8/2017
,Curragh Lodge,11,Ballaterson Fields,,Ballaugh,IM7 5AN,Ballaugh,275000,275000,18/09/2012,29/10/2012
,,1,Sunnyside Terrace,Minorca Hill,Laxey,IM4 7EE,Lonan,185000,185000,18/09/2012,29/10/2012
Apartment 2,The Pavilions,,Fairway Drive,,Ramsey,IM8 2BQ,Maughold,410000,410000,18/09/2012,6/2/2013
,,,Land At Boilley Cowle,,German,,German,20000,20000,19/09/2012,20/11/2012
,,50,Magherchirrym,Ponyfields,Port Erin,IM9 6DB,Rushen,0.25,175000,19/09/2012,4/12/2012
,,94,Pine Grove,Silverburn Estate,Ballasalla,IM9 2EA,Malew,353000,353000,19/09/2012,6/3/2013
,,10,Ballafurt Close,,Port Erin,IM9 6HS,Rushen,360000,360000,21/09/2012,11/10/2012
,,3,Swales Terrace,Vernon Road,Ramsey,IM8 2HA,Maughold,174500,174500,21/09/2012,18/10/2012
,,13,Aspen Drive,,Peel,IM5 1WS,German,252000,252000,21/09/2012,18/10/2012
,,17,Thomas Keig Road,Reayrt Y Sheear,Douglas,IM2 6PL,Onchan,129310,129310,21/09/2012,23/10/2012
Apartment 79,Queens Apartments,,Queens Promenade,,Douglas,IM2 4NY,Onchan,125000,125000,21/09/2012,29/10/2012
,Church View,,Main Road,,Andreas,IM7 4HM,Andreas,310000,310000,21/09/2012,31/10/2012
,,16,Hampton Farm,,Douglas,IM2 2DN,Braddan,144000,144000,21/09/2012,22/07/2014
,,29,Ballalough,,Andreas,IM7 4HU,Andreas,280000,280000,21/09/2012,19/12/2012
,,45,Hailwood Avenue,Governors Hill,Douglas,IM2 7DG,Onchan,180000,180000,21/09/2012,14/02/2013
Apartment 63,Millennium Court,,Queens Promenade,,Douglas,IM2 4NN,Onchan,215000,215000,21/09/2012,14/02/2013
,,8,Ballakermeen Road,,Douglas,IM1 4BJ,Onchan,210000,210000,21/09/2012,18/04/2013
,Lealand,,Grove Mount West,,Ramsey,IM8 3HR,Lezayre,175000,175000,24/09/2012,7/11/2012
,,114,Lakeside Road,Governors Hill,Douglas,IM2 7DF,Onchan,200000,200000,24/09/2012,21/11/2012
,,3,Governors Road,,Onchan,IM3 1AX,Onchan,285000,285000,24/09/2012,24/12/2012
,,,Land At Ballagilley,Hibernia,Maughold,,Maughold,35000,35000,24/09/2012,28/01/2013
,,6,Bradda View,Ballakillowey,Colby,IM9 4BE,Rushen,575000,575000,24/09/2012,12/3/2013
,,4,Rosedene Avenue,Birch Hill,Onchan,IM3 3HF,Onchan,150000,300000,24/09/2012,4/1/2013
,Nyn Ashlish,,Mines Road,Higher Foxdale,Patrick,IM4 3ET,Patrick,340000,340000,25/09/2012,23/10/2012
,,46,Devonshire Road,,Douglas,IM2 3RE,Onchan,265000,265000,25/09/2012,24/12/2012
Field 130692,,,Near To West Kella Road,Close Lhear Meadows,Sulby,,Lezayre,1000,1000,26/09/2012,18/10/2012
,,30,Fairway Close,,Onchan,IM3 2EQ,Onchan,410000,410000,26/09/2012,1/11/2012
,Former Mea Showroom,,Bowring Road,,Ramsey,IM8 2LQ,Lezayre,325000,325000,26/09/2012,26/11/2012
,Ellan Vannin,,The Quay,,Castletown,IM9 1LD,Malew,285000,285000,26/09/2012,6/3/2013
,,25,King Edward Close,,Onchan,IM3 2AG,Onchan,335000,335000,26/09/2012,21/12/2012
,,3,Keeil Pharick Park,,Glen Vine,IM4 4EW,Marown,390000,390000,26/09/2012,24/12/2012
,,,Private Road Way At The Laurels,Governors Hill,Douglas,IM2 7DN,Onchan,0,0,26/09/2012,31/07/2014
,,22,The Laurels,Governors Hill,Douglas,IM2 7DN,Onchan,265000,265000,26/09/2012,1/8/2014
,Hillcrest,,May Hill,,Ramsey,IM8 2HG,Maughold,442000,442000,26/09/2012,13/11/2013
,,9,Westminster Drive,,Douglas,IM1 4EG,Onchan,215000,215000,27/09/2012,23/11/2012
,,45,Highfield Close,Birch Hill,Onchan,IM3 3BR,Onchan,345000,345000,27/09/2012,20/11/2012
,,45,Birch Hill Crescent,,Onchan,IM3 3DQ,Onchan,238000,238000,27/09/2012,10/12/2012
,,,Land At Glen Roy,Laxey,Lonan,IM4 7QA,Lonan,1000,1000,28/09/2012,7/11/2012
,Workshop,,Glen Roy,,Laxey,IM4 7QA,Lonan,19000,19000,28/09/2012,7/11/2012
,105 St. Pauls Apartments,,St. Pauls Square,,Ramsey,IM8 1LE,Maughold,42500,42500,28/09/2012,9/11/2012
,,95,Silverburn Crescent,,Ballasalla,IM9 2ED,Malew,1,1000,28/09/2012,20/11/2012
,Strooan Cottage,,Sound Road,,Glen Maye,IM5 3BJ,Patrick,0,325000,28/09/2012,15/11/2012
Garage 51,,,Murrays Lake Drive,Mount Murray,Santon,IM4 2HZ,Santon,17000,17000,28/09/2012,10/12/2012
,,36,Selborne Drive,,Douglas,IM2 3NH,Onchan,367500,367500,28/09/2012,10/12/2012
,Lonsdale,28,Cronkbourne Road,,Douglas,IM2 3LB,Onchan,395000,395000,28/09/2012,10/12/2012
,124 St Pauls Apartments,,St Pauls Square,,Ramsey,IM8 1LE,Maughold,44500,44500,28/09/2012,5/2/2013
,,17,Rowan Avenue,Ballawattleworth,Peel,IM5 1WF,German,257000,257000,28/09/2012,8/1/2013
,Ballacosney House,,Baldhoon Road,Baldhoon,Lonan,IM4 7QH,Lonan,625000,625000,28/09/2012,21/12/2012
,Garages And Plot Of Land,,Off Kerrocoar Close,,Onchan,IM3 1JA,Onchan,28000,28000,28/09/2012,4/1/2013
,Kildare,12,Inner Circle,,Douglas,IM2 5BE,Onchan,80000,240000,28/09/2012,15/01/2013
,,,Land Adjoining,The Old Brickworks,Foxdale,IM4 3EX,Patrick,400000,400000,28/09/2012,9/1/2013
,,6,Springfield Rise,,Foxdale,IM4 3JX,Patrick,309950,309950,28/09/2012,10/7/2014
,The Turrets,,Ballaquane Road,,Peel,IM5 1PS,German,495000,495000,30/09/2012,11/12/2012
,Anchor House,,Queens Road,,Port St. Mary,IM9 5ES,Rushen,585000,585000,1/10/2012,31/10/2012
,,10,Ard Reayrt,Ramsey Road,Laxey,IM4 7PZ,Lonan,265000,265000,1/10/2012,13/11/2012
,,38,Ballanoa Meadow,,Santon,IM4 1HQ,Santon,250000,250000,1/10/2012,19/11/2012
,Lothlorien,,Quarry Road,,Laxey,IM4 7DU,Lonan,265000,265000,1/10/2012,11/12/2012
,Electricity Transformer Station,,Manx Electric Railway Depot,Rencell Hill,Laxey,,Lonan,24.75,100,1/10/2012,11/2/2013
Apartment 1,Marina House,2,Marine Parade,,Peel,IM5 1PB,German,167000,167000,1/10/2012,26/11/2012
,,14,Kirby Hill,Saddlestone,Douglas,IM2 1PA,Braddan,387500,387500,1/10/2012,12/12/2012
,,47,Governors Road,,Onchan,IM3 1AY,Onchan,198000,198000,1/10/2012,12/12/2012
,,3,Auldyn Court,Auldyn Walk,Ramsey,IM8 2TP,Lezayre,119450,119450,1/10/2012,13/02/2014
Flat 5,,1,Clybane Manor,Clybane Close,Douglas,IM2 2LT,Braddan,115550,115550,1/10/2012,20/12/2012
,,126,Fairways Drive,Mount Murray,Braddan,IM4 2JB,Braddan,0,460000,1/10/2012,18/04/2013
,Barn And Farm Outbuildings,,Rowan Road (Off Main High Road),Hibernia,Maughold,IM7 1EW,Maughold,420000,420000,1/10/2012,7/1/2013
,,12,Farmhill Mews,,Douglas,IM2 2EJ,Braddan,189000,189000,1/10/2012,9/1/2013
,,15,Mcleods Field,,Peel,IM5 1UX,German,185000,185000,1/10/2012,24/06/2014
,Longridge,5,Riverbank Road,,Ramsey,IM8 3PP,Lezayre,375000,375000,2/10/2012,6/11/2012
,Maggies Cottage,,Douglas Road,,Ballasalla,IM9 3DN,Malew,275000,275000,2/10/2012,9/11/2012
,Merriweathers,,Ballure Road,,Ramsey,IM8 1NL,Maughold,560000,560000,2/10/2012,11/12/2012
,High Standing,,Main Road,,Baldrine,IM4 6DU,Lonan,0.25,400000,2/10/2012,2/1/2013
,Dreem Ard,,Ballanard Road,,Douglas,IM2 5PR,Onchan,840000,840000,2/10/2012,31/01/2013
,,61,Derby Road,,Douglas,IM2 3EW,Onchan,310000,310000,3/10/2012,22/10/2012
,,45,Murrays Lake Drive,Mount Murray,Santon,IM4 2HZ,Santon,203000,203000,3/10/2012,10/12/2012
,,36,Ard Reayrt,,Laxey,IM4 7QP,Lonan,173200,425000,3/10/2012,2/1/2013
,1 The Maples,,Woodbourne Road,,Douglas,IM2 3AW,Onchan,410000,410000,3/10/2012,23/12/2014
,Forecourt,,Woodbourne Road,,Douglas,,Onchan,0,0,3/10/2012,24/12/2014
,,,East Loughan,,Jurby East,IM7 3EZ,Jurby,640000,640000,4/10/2012,7/1/2013
,The Old Bake House,,Athol Street,,Port St Mary,IM9 5DS,Rushen,340000,340000,5/10/2012,20/12/2012
,,2,Reayrt Ny Glionney Close,,Lonan,IM4 7LE,Lonan,315000,315000,5/10/2012,8/11/2012
Flat 70,,,Julian Road,,Douglas,IM2 6EL,Onchan,119950,119950,5/10/2012,15/01/2013
,,29,Balleigh Park,,Ramsey,IM8 3NL,Lezayre,185000,185000,5/10/2012,19/11/2012
,Thie Mullberrish,23,Ballaterson Fields,,Ballaugh,IM7 5AW,Ballaugh,324000,324000,5/10/2012,28/11/2012
,,130,Lakeside Road,Governors Hill,Douglas,IM2 7EP,Onchan,195000,195000,5/10/2012,19/12/2012
,Apartment 3,27,Linden Gardens,,Douglas,IM2 6AB,Onchan,133846,133846,5/10/2012,6/2/2013
,Marlbrook,,Kerrowmoar,,Lezayre,IM7 2AX,Lezayre,260000,260000,5/10/2012,4/1/2013
,Field No. 121931,,Part Of Kerrowgarrow,,Andreas,,Andreas,25550,25550,5/10/2012,8/1/2013
,,8,Fairways Court,Rowany Drive,Port Erin,IM9 6LP,Rushen,140000,140000,5/10/2012,13/02/2013
,,6,Slieau Whallian Park,,St Johns,IM4 3JH,German,126000,126000,5/10/2012,24/04/2013
,,96,Ballagarey Road,,Glen Vine,IM4 4EU,Marown,620000,620000,8/10/2012,17/12/2012
,Sarum,,Main Road,,Andreas,IM7 4HH,Andreas,210000,210000,8/10/2012,9/1/2013
,,,Land Adjacent To Halcyon Days,Ballacurn,Ballaugh,IM7 5EX,Ballaugh,100000,100000,8/10/2012,12/9/2013
,,12,Oatfield Rise,,Ballasalla,IM9 2HN,Malew,0,180000,9/10/2012,13/12/2013
Apartment 1,Park Court,,Athol Park,,Port Erin,IM9 6EX,Rushen,66666.67,200000,10/10/2012,11/1/2013
,Kerrowmoar Cottage,,Lezayre Road,,Sulby,IM7 2AX,Lezayre,182500,182500,10/10/2012,6/12/2012
Apartment 3,Ramsey House,,Stanley Mount East,,Ramsey,IM8 1NP,Maughold,65500,65500,10/10/2012,3/4/2013
,,10,Douglas Avenue,,Douglas,IM2 5EL,Onchan,258000,258000,11/10/2012,21/11/2012
,,36,Stanley Road,,Peel,IM5 1NY,German,105000,105000,11/10/2012,3/1/2013
,The Bradford,5,Mona Drive,,Douglas,IM2 4LG,Onchan,525000,525000,11/10/2012,22/04/2013
,,4,Hillcroft,Governors Hill,Douglas,IM2 7DW,Onchan,218000,218000,11/10/2012,18/03/2013
,,10,Campion Way,Abbeyfields,Douglas,IM2 7DU,Onchan,213000,213000,11/10/2012,16/09/2013
,,16,Knock Rushen,,Castletown,IM9 1TQ,Malew,160000,500000,12/10/2012,13/06/2014
,Mona House,,Bay View Road,,Port Erin,IM9 6LF,Rushen,260000,260000,12/10/2012,12/11/2012
,,32,Erin Crescent,,Port Erin,IM9 6FD,Rushen,180000,180000,12/10/2012,12/11/2012
,Private Road At,,Erin Crescent,,Port Erin,IM9 6FD,Rushen,0,0,12/10/2012,12/11/2012
,,27,All Saints Park,,Lonan,IM4 7LB,Lonan,180000,180000,12/10/2012,20/11/2012
Apartment 8,Sheridan Apartments,,Murrays Road,,Douglas,IM2 3EY,Onchan,445000,445000,12/10/2012,21/11/2012
,,4,Springfield Rise,,Foxdale,IM4 3JX,Patrick,304950,304950,12/10/2012,10/7/2014
,,15,Queens Road,,Onchan,IM3 4AF,Onchan,165000,165000,12/10/2012,4/1/2013
,,43,Mysore Cottages,Waterloo Road,Ramsey,IM8 1DX,Maughold,100000,100000,12/10/2012,1/3/2013
,The School Of Navigation,,Gawnes Court,Off Douglas Street,Peel,IM5 1BB,German,165000,165000,12/10/2012,9/5/2013
,,7,Glen Falcon Terrace,,Douglas,IM2 3HR,Onchan,220000,220000,12/10/2012,10/1/2013
,Largo,70,Beech Grove,Silverburn Estate,Ballasalla,IM9 2DX,Malew,200000,200000,12/10/2012,10/1/2013
,,35,Copse Hill,Saddlestone,Douglas,IM2 1NE,Braddan,290000,290000,12/10/2012,11/1/2013
,,15,Wallberry Mews,Farmhill,Douglas,IM2 2NE,Braddan,185000,185000,12/10/2012,11/1/2013
,,8,Bradda View,Ballakillowey,Colby,IM9 4BE,Rushen,500000,500000,12/10/2012,16/01/2013
,,12,Eskdale Road,,Onchan,IM3 2AJ,Onchan,250000,250000,12/10/2012,16/01/2013
,Greyney Mooar,,Glen Road,,Colby,IM9 4HL,Arbory,2100000,2100000,12/10/2012,22/01/2013
,Plot Of Land And Barn,,Glen Auldyn,,Lezayre,IM7 2AH,Lezayre,100000,100000,12/10/2012,20/02/2014
Flat 3,Richmond Court,,Manor Lane,Farmhill,Douglas,IM2 2NU,Braddan,170000,170000,12/10/2012,25/02/2013
,,18,Keeill Pharick Park,,Glen Vine,IM4 4EW,Marown,685000,685000,12/10/2012,19/02/2013
Penthouse Apartment,,1,Lake Road,,Douglas,IM1 5AF,Onchan,0.25,530000,12/10/2012,28/02/2013
,,25,Hampton Farm,,Douglas,IM2 2DN,Braddan,150000,150000,15/10/2012,3/12/2014
,,23,Hampton Farm,,Douglas,IM2 2DN,Braddan,150000,150000,15/10/2012,4/12/2014
,,22,Knock Rushen,,Castletown,IM9 1TQ,Malew,0,340000,15/10/2012,17/06/2014
,,,Ballafayle Beg,,Maughold,IM7 1ED,Maughold,0,465000,15/10/2012,6/10/2014
,Land Part Of,,Ballafayle-E-Callow,,Maughold,,Maughold,0,50000,15/10/2012,6/10/2014
,Bwooille Losht,,Near Ballajora,,Maughold,IM7 1EB,Maughold,0,225000,15/10/2012,6/10/2014
,Land At Magher Breck,,Quakers Road,,Maughold,IM7 1EF,Maughold,0,200000,15/10/2012,6/10/2014
,Part Of The Estate Of,,Ballajora (The Tops),,Maughold,IM7 1AZ,Maughold,0,150000,15/10/2012,6/10/2014
,,,Land At Ballajora,,Maughold,IM7 1AZ,Maughold,0,150000,15/10/2012,7/10/2014
,,9,Bramble Close,Saddlestone Park,Douglas,IM2 1QN,Braddan,217500,217500,16/10/2012,8/11/2012
,,25,Horseshoe Avenue,Saddlestone,Douglas,IM2 1QT,Braddan,275000,275000,16/10/2012,12/12/2012
,Argyle House,2,Harris Promenade,,Douglas,IM1 2HH,Onchan,500000,500000,17/10/2012,6/12/2012
,,37,Station Road,,Port Erin,IM9 6AW,Rushen,250000,250000,17/10/2012,7/1/2013
,,4,Ash Close,,Peel,IM5 1WE,German,1,170000,17/10/2012,10/12/2012
,,,Land At Rhencullen,,Michael,,Michael,10000,10000,17/10/2012,18/01/2013
,Stream Cottage,,Glen Road,,Laxey,IM4 7AN,Lonan,395000,395000,18/10/2012,28/11/2012
,,54,Ard Reayrt,Ramsey Road,Laxey,IM4 7QP,Lonan,368500,368500,18/10/2012,28/01/2013
,Garage 17,,Queens Court,,Ramsey,IM8 1LQ,Maughold,15000,15000,18/10/2012,6/2/2013
,,154,Fairways Crescent,Mount Murray,Braddan,IM4 2JJ,Braddan,290000,290000,19/10/2012,9/11/2012
Plot Of Land,Port Way,,Balthane Industrial Estate,Ballasalla,Malew,IM9 2AL,Malew,620000,620000,19/10/2012,20/11/2012
,,2,Richmond Close,Glen Park,Douglas,IM2 6HR,Onchan,182000,182000,19/10/2012,6/12/2012
,,,Plot Of Land,Kerrokeil,Malew,,Malew,29000,29000,19/10/2012,5/2/2013
,,1,King Orry Road,,Glen Vine,IM4 4EL,Marown,214000,214000,19/10/2012,18/12/2012
,,66,Slieau Curn Park,,Kirk Michael,IM6 1EW,Michael,219000,219000,19/10/2012,4/1/2013
,,119,Royal Avenue,,Onchan,IM3 1LD,Onchan,227000,227000,19/10/2012,8/1/2013
,1 Fir Cottages,,Main Road,,Higher Foxdale,IM4 3EG,Patrick,163000,163000,19/10/2012,14/02/2013
,Kensyldene,,Main Road,,Lower Foxdale,IM4 3BD,Patrick,259000,259000,19/10/2012,18/04/2013
,,39,Mill Street,,Castletown,IM9 1AG,Malew,137000,137000,19/10/2012,23/07/2013
,,39,Mill Street,,Castletown,IM9 1AG,Malew,137000,137000,19/10/2012,23/07/2013
,Kowloon,6,Ballagarey Road,,Glen Vine,IM4 4EA,Marown,325000,325000,19/10/2012,5/2/2013
,The Dome,,Balthane Industrial Estate,,Ballasalla,,Malew,555000,555000,19/10/2012,10/6/2013
,Ben The Hoose,,Balthane Industrial Estate,,Ballasalla,,Malew,120000,120000,19/10/2012,8/10/2013
,,20,Brighton Terrace,,Douglas,IM1 4AP,Onchan,195000,195000,22/10/2012,22/11/2012
,Sunnymeade Court,,Sunnymeade,,Port Soderick,IM4 1AU,Braddan,865000,865000,23/10/2012,26/11/2012
,Land Adjoining Thie Jeant,,Qualtroughs Lane,Ballafesson,Port Erin,IM9 6TP,Rushen,4223,4223,23/10/2012,27/11/2012
,1 Hawthorn Villas,110,Woodbourne Road,,Douglas,IM2 3AS,Onchan,1,1000,24/10/2012,15/11/2012
,The Rhullick,,Narradale Road,Sulby,Lezayre,IM7 2HA,Lezayre,0.25,275000,24/10/2012,11/11/2013
,Glen Mona Filling Station,,Glen Mona,,Maughold,IM7 1HD,Maughold,268000,268000,24/10/2012,19/12/2012
,,4,Spinney Close,Saddlestone,Douglas,IM2 1NF,Braddan,0,400000,24/10/2012,28/12/2012
,Field Number 124563,,St Judes,,Andreas,,Andreas,131000,131000,25/10/2012,25/04/2013
,,16,Thorny Road,,Douglas,IM2 5ED,Onchan,261000,261000,25/10/2012,25/01/2013
,,24,Patrick Street,,Peel,IM5 1BR,German,223950,223950,26/10/2012,13/11/2012
,,9,Linden Grove,,Douglas,IM2 6AD,Onchan,176000,176000,26/10/2012,15/11/2012
Apartment 2,Kensington Apartments,4,Victoria Road,,Port St Mary,IM9 5AF,Rushen,135000,135000,26/10/2012,26/11/2012
,,5,Foxglove Close,Abbeyfields,Douglas,IM2 7EG,Onchan,93470.02,270000,26/10/2012,7/1/2013
,,18,Fuchsia Road,Reayrt Ny Keylley,Peel,IM5 1GA,German,175000,175000,26/10/2012,22/11/2012
Flat 11,Carlton Grove,,Queens Drive West,,Ramsey,IM8 2JA,Maughold,130000,130000,26/10/2012,5/2/2013
,,19,Birchleigh Close,,Onchan,IM3 4EX,Onchan,216000,216000,26/10/2012,10/12/2012
,,24,Hampton Farm,,Douglas,IM2 2DN,Braddan,150000,150000,26/10/2012,4/12/2014
,,,Land Adjoining Church Hill,,Laxey,IM4 7AS,Lonan,15000,15000,26/10/2012,13/12/2012
,Thalloo Aust,,Aust Lane,Andreas Road,Lezayre,IM7 4EG,Lezayre,571700,571700,26/10/2012,11/1/2013
,Stanley House,,Castle Street,,Castletown,IM9 1LF,Malew,511000,511000,26/10/2012,2/1/2013
,Kololo,,Ballacollister Road,South Cape,Laxey,IM4 7HU,Lonan,295000,295000,26/10/2012,19/02/2013
,,12,Sunnydale Avenue,,Port Erin,IM9 6EU,Rushen,190000,190000,26/10/2012,31/12/2012
,,5,Wallberry Mews,Farmhill,Braddan,IM2 2ND,Braddan,150000,150000,26/10/2012,10/1/2013
Apartment 39,Imperial Court,,Castle Hill,,Douglas,IM2 4AA,Onchan,185500,185500,26/10/2012,5/2/2013
,,4,Bramble Close,Saddlestone,Douglas,IM2 1QN,Braddan,244000,244000,26/10/2012,4/2/2013
Apartment 22,Majestic Apartments,,King Edward Road,,Onchan,IM3 2BD,Onchan,500000,500000,26/10/2012,26/02/2013
,,22,Hawthorn Close,Ashley Hill,Onchan,IM3 3HL,Onchan,275000,275000,26/10/2012,3/4/2013
,,51,Murrays Lake Drive,Mount Murray,Santon,IM4 2HZ,Santon,215000,215000,26/10/2012,7/2/2013
,,5,Rheast Mooar Lane,,Ramsey,IM8 3LP,Lezayre,295000,295000,26/10/2012,26/03/2013
,,28,Ballanoa Meadow,,Santon,IM4 1HQ,Santon,213500,213500,28/10/2012,15/01/2013
,,2,The Grove,,Peel,IM5 1LB,German,335000,335000,29/10/2012,4/1/2013
,Landscaped Area And Additional Parking Space,,The Grove,,Peel,IM5 1LB,German,0,0,29/10/2012,14/01/2013
,,18,Mcleods Field,,Peel,IM5 1UX,German,185000,185000,29/10/2012,24/06/2014
Apartment 24,Kensington Place,,Imperial Terrace,,Onchan,IM3 1HL,Onchan,370000,370000,30/10/2012,26/11/2012
,,2,Aspen Drive,,Peel,IM5 1WT,German,0.25,275000,30/10/2012,12/12/2012
,,4,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,156702.5,156702.5,30/10/2012,24/11/2014
,,2,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,164950,164950,30/10/2012,24/11/2014
,,12,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,262950,262950,30/10/2012,7/11/2014
,,17,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,211950,211950,30/10/2012,13/11/2014
,,14,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,260000,260000,30/10/2012,10/11/2014
,,16,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,269418.8,269418.8,30/10/2012,11/11/2014
,,10,Ballacriy Park,,Colby,IM9 4LT,Arbory,200000,200000,30/10/2012,4/3/2013
,,1,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,211950,211950,30/10/2012,14/11/2014
,,17,Mcleods Field,,Peel,IM5 1UX,German,182500,182500,30/10/2012,24/06/2014
,Strip Of Land Adjoining Carmodil,,Ballaugh Glen,,Ballaugh,,Ballaugh,0.25,0.25,31/10/2012,27/11/2012
,Carmodil,,Glen Road,,Ballaugh,IM7 5JD,Ballaugh,0,462500,31/10/2012,27/11/2012
,,42,Slieau Whallian Park,The Hope,St Johns,IM4 3JJ,German,128000,128000,31/10/2012,11/12/2012
Apartment 7,Dolphin Apartments,,The Promenade,,Port St Mary,IM9 5DF,Rushen,205000,205000,31/10/2012,11/2/2013
,,41,Hope Street,,Douglas,IM1 1AR,Onchan,150000,150000,31/10/2012,12/12/2012
,,32,Athol Street,,Douglas,IM1 1JB,Onchan,539000,539000,31/10/2012,10/1/2013
,,18,Close Caaig,Reayrt Ny Cronk,Peel,IM5 1GS,German,253950,253950,31/10/2012,11/11/2014
,,43,Julian Road,Glen Park,Douglas,IM2 6EL,Onchan,112000,112000,31/10/2012,5/3/2013
,17 Garages,,Waterloo Road,,Ramsey,,Maughold,175000,175000,31/10/2012,29/04/2013
,Car Parking Space Abutting,,Close Caaig,Reayrt Ny Cronk,Peel,IM5,German,13000,13000,31/10/2012,18/11/2014
,Seafield,,Mount Gawne Road,,Rushen,IM9 5LX,Rushen,240000,240000,1/11/2012,12/12/2012
Apartment 3,Queens Pier Apartments,,Queens Drive East,,Ramsey,IM8 1EU,Maughold,125000,125000,1/11/2012,19/03/2013
,,2,Harbourside Cottages,Tent Road,Laxey,IM4 7DB,Lonan,239000,239000,1/11/2012,28/01/2014
,Access And Parking Area At The Rear Of,,1 2 & 3 Harbourside,Tent Road,Laxey,,Lonan,0,0,1/11/2012,28/01/2014
,Plot 2,,Tickle Close,,Ballabeg,IM9 4LQ,Arbory,250000,250000,1/11/2012,29/01/2014
,Land At Thie Ny Garee,,(Field 614193 And Part Of Field 614194),Ballaragh,Lonan,IM4 7PL,Lonan,60000,60000,1/11/2012,13/01/2015
,Leviticus,38,Slieau Curn Park,,Kirk Michael,IM6 1EJ,Michael,176950,176950,2/11/2012,20/11/2012
,Land Being Part Of The Estate Known As,,Broogh Wyllin,,Kirk Michael,,Michael,1,1,2/11/2012,10/4/2015
,,7,Camlork Close,The Strang,Braddan,IM4 4TW,Braddan,195000,195000,2/11/2012,23/11/2012
Flat 4,Kenilworth House,,The Promenade,,Port St Mary,IM9 5DB,Rushen,167000,167000,2/11/2012,30/01/2013
,Station Bungalow,,Station Road,,Kirk Michael,IM6 1EZ,Michael,249950,249950,2/11/2012,22/11/2012
,,43,Harcroft Meadow,New Castletown Road,Douglas,IM2 1JT,Braddan,250000,250000,2/11/2012,26/11/2012
Apartment 3,,19,Royal Avenue West,,Onchan,IM3 1HB,Onchan,114500,114500,2/11/2012,26/11/2012
,,3,Horseshoe Avenue,Saddlestone,Douglas,IM2 1QT,Braddan,278000,278000,2/11/2012,28/12/2012
,Apartment 5,28,Linden Gardens,,Douglas,IM2 6AB,Onchan,133846,133846,2/11/2012,6/2/2013
,,18,Farmhill Park,,Douglas,IM2 2EE,Braddan,565000,565000,2/11/2012,7/1/2013
,,22,Corran Pirragh,Reayrt Ny Cronk,Peel,IM5 1GN,German,0,140000,2/11/2012,20/02/2013
,,26,Auldyn Walk,,Ramsey,IM8 2TN,Lezayre,200000,200000,2/11/2012,11/1/2013
,Crofton,,Glen Road,,Colby,IM9 4NX,Arbory,320000,320000,2/11/2012,31/01/2013
,,30,Victoria Avenue,,Douglas,IM2 4AN,Onchan,190000,190000,2/11/2012,5/2/2013
Flat 2,,2,Belmont Terrace,Peel Road,Douglas,IM1 4NL,Onchan,70000,70000,2/11/2012,28/02/2013
,,80,Julian Road,Glen Park,Douglas,IM2 6EL,Onchan,150000,150000,2/11/2012,11/2/2013
,,75,Lakeside Road,Governors Hill,Douglas,IM2 7BU,Onchan,0.25,240000,2/11/2012,31/03/2014
Apartment 56,Quay West Apartments,,Bridge Road,,Douglas,IM1 5AG,Onchan,350000,350000,5/11/2012,14/12/2012
,,5,Station Road,,Port Erin,IM9 6AE,Rushen,338000,338000,5/11/2012,12/12/2012
,,25,Harcroft Meadow,,Douglas,IM2 1JS,Braddan,126000,126000,5/11/2012,28/12/2012
,Plot Of Land,,Port Way,Balthane Industrial Estate,Ballasalla,,Malew,100000,100000,5/11/2012,21/08/2013
Apt 1,Queens Pier Apartments,,Queens Drive East,,Ramsey,IM8 1EU,Maughold,117931,117931,6/11/2012,25/01/2013
,,6,Grosvenor Road,,Douglas,IM1 3EN,Onchan,198800,198800,6/11/2012,4/1/2013
,Store 16,,Kensington Place,,Onchan,IM3 1HL,Onchan,1,5000,6/11/2012,26/02/2013
Store 18,Kensington Place Apartments,,Imperial Terrace,,Onchan,IM3 1HL,Onchan,1,5000,6/11/2012,27/02/2013
,Store 3,,Kensington Place,,Onchan,IM3 1HL,Onchan,1,5000,6/11/2012,5/3/2013
,Store 14,,Kensington Place,,Onchan,IM3 1HL,Onchan,1,5000,6/11/2012,8/3/2013
,,11,Thornton Avenue,,Douglas,IM1 4NU,Onchan,210000,210000,6/11/2012,1/3/2013
